Name,Added,Loved,Owned,Played,Playing,Finished,Mastered,Dominated,Shelved,Rating,"Copy label","Copy Release","Copy platform","Copy media","Copy media other","Copy source","Copy source other","Copy purchase date","Copy box","Copy box condition","Copy box notes","Copy manual","Copy manual condition","Copy manual notes","Copy complete","Copy complete notes",Platforms,Notes
,2014-12-04,0,1,0,0,0,0,0,0,,Steam,"Dreamfall Chapters- Book One: Reborn",PC,Digital,,Steam,,,N/A,N/A,,N/A,N/A,,N/A,,"Mac, PC, Linux",
"Dreamfall: The Longest Journey",2013-05-10,0,1,0,0,0,0,0,0,,GOG,"Dreamfall: The Longest Journey (GOG)",PC,Digital,,GOG,,,N/A,N/A,,N/A,N/A,,N/A,,PC,
Dredge,2023-08-02,1,1,1,0,1,1,1,0,5.0,PSN,,"PlayStation 5",Digital,,"Sony Entertainment Network",,2023-08-02,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 5",
,2023-08-02,1,1,1,0,1,1,1,0,5.0,Epic,,PC,Digital,,"Epic Games Store",,2024-12-24,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 5",
Driftmoon,2013-11-05,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
Driveclub,2015-07-01,0,1,0,0,0,0,0,0,,PSN,"Driveclub PlayStation Plus Edition","PlayStation 4",Digital,,"Sony Entertainment Network",,2015-06-30,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Driver: San Francisco",2015-06-17,0,1,0,0,0,0,0,0,,Steam,"Driver: San Francisco",PC,Digital,,Steam,,2015-06-16,N/A,N/A,,N/A,N/A,,N/A,,"Mac, PC",
"DuckTales: Remastered",2015-01-11,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"PlayStation Network (PS3)",
"Duke Nukem 3D",2019-03-09,0,1,0,0,0,0,0,1,,GOG,"Duke Nukem 3D: Atomic Edition (Good Old Games)",PC,Digital,,GOG,,,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"Dungeon Hearts",2014-01-12,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"Mac, PC, Linux",
"The Dungeon of Naheulbeuk: The Amulet of Chaos",2023-07-02,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2023-06-30,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Dungeon Punks",2017-11-10,0,1,0,0,0,0,0,1,,PS4,"Dungeon Punks","PlayStation 4",Digital,,"Sony Entertainment Network",,2017-11-10,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Dungeons & Dragons: Chronicles of Mystara",2014-10-11,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"PlayStation Network (PS3)",
"Dungeons & Dragons: Dragonshard",2013-06-18,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,PC,
"Dungeons 2",2017-05-12,0,1,0,0,0,0,0,0,,Steam,"Dungeons 2",PC,Digital,,"Humble Bundle",,2017-05-11,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
,2017-05-12,0,1,0,0,0,0,0,0,,GOG,"Dungeons 2",PC,Digital,,GOG,,2018-02-16,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"Dungeons 3",2020-11-22,0,1,0,0,0,0,0,0,,Epic,"Dungeons 3",PC,Digital,,Other,Epic,2020-11-06,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Dungeons of Dredmor",2012-11-22,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,"Mac, PC, Linux",
Duskers,2023-02-26,0,1,0,0,0,0,0,0,,Epic,Duskers,PC,Digital,,"Epic Games Store",,2023-02-24,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Dust: An Elysian Tail",2014-02-19,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"Mac, PC, PlayStation 4, Linux",
"Dying Light",2023-04-12,0,1,0,0,0,0,0,0,,Epic,"Dying Light Enhanced Edition",PC,Digital,,"Epic Games Store",,2023-04-07,N/A,N/A,,N/A,N/A,,N/A,,PC,
"EA Sports UFC 4",2022-02-04,0,1,0,0,0,0,0,1,,PSN,,"PlayStation 4",Digital,,"Sony Entertainment Network",,2022-02-02,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
Earthlock,2023-11-17,0,1,0,0,0,0,0,0,,Epic,Earthlock,PC,Digital,,"Epic Games Store",,2023-11-17,N/A,N/A,,N/A,N/A,,N/A,,PC,
Echochrome,2016-06-09,0,1,0,0,0,0,0,0,,PS3,"echochrome (PS3)","PlayStation Network (PS3)",Digital,,"Sony Entertainment Network",,2016-06-08,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3)",
"Edna & Harvey: Harvey's New Eyes",2013-11-07,0,1,0,0,0,0,0,0,,"HB / Steam","Edna & Harvey: Harvey's New Eyes",PC,Digital,,"Humble Bundle",,2013-11-07,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Edna & Harvey: The Breakout",2014-09-15,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
"Eets: Hunger. It's emotional.",2011-08-16,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"Mac, PC",
"The Elder Scrolls II: Daggerfall",2018-08-17,0,1,0,0,0,0,0,0,,GOG,"Elder Scrolls: Daggerfall, The",PC,Digital,,GOG,,2018-08-17,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Elder Scrolls IV: Oblivion",2012-11-23,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
"The Elder Scrolls Online",2023-07-31,0,1,0,0,0,0,0,0,,Epic,"The Elder Scrolls Online",PC,Digital,,"Epic Games Store",,2023-07-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Elder Scrolls V: Skyrim",2012-11-22,1,1,1,0,1,0,0,0,4.5,,,,,,,,,,,,,,,,,PC,
"The Elder Scrolls: Arena",2018-08-17,0,1,0,0,0,0,0,0,,GOG,"The Elder Scrolls: Arena",PC,Digital,,GOG,,2018-08-17,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Elite: Dangerous",2020-11-22,0,1,0,0,0,0,0,0,,Epic,"Elite: Dangerous",PC,Digital,,Other,Epic,2020-11-20,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Emerald City Confidential",2011-08-16,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,Mac,
"Empyrion: Galactic Survival",2024-10-17,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2024-10-11,N/A,N/A,,N/A,N/A,,N/A,,PC,
Encased,2023-01-07,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2022-12-24,N/A,N/A,,N/A,N/A,,N/A,,PC,
Enclave,2014-01-31,0,1,0,0,0,0,0,1,,,"Enclave (Steam)",PC,Digital,,Steam,,,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"The End is Nigh",2019-09-27,0,1,0,0,0,0,0,0,,Epic,"The End is Nigh",PC,Digital,,Other,Epic,2019-09-09,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Endless Ocean Luminous",2024-05-02,0,1,0,0,0,0,0,0,,Switch,"Endless Ocean Luminous","Nintendo Switch",Physical,,Other,Nintendopusheren,2024-05-02,N/A,N/A,,N/A,N/A,,N/A,,"Nintendo Switch",
"Endless Space",2019-09-27,0,1,0,0,0,0,0,0,,"HB / Steam","Endless Space",PC,Digital,,"Humble Bundle",,2019-09-12,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Enslaved: Odyssey to the West",2011-08-16,0,1,1,0,1,0,0,0,3.5,PS3,"Enslaved: Odyssey to the West","PlayStation 3",Physical,,,,,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 3, PC",
,2011-08-16,0,1,1,0,1,0,0,0,3.5,"HB / Steam","ENSLAVED™: Odyssey to the West™ Premium Edition",PC,Digital,,"Humble Bundle",,2017-02-01,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 3, PC",
"Enter the Gungeon",2020-11-22,0,1,0,0,0,0,0,0,,Epic,"Enter the Gungeon",PC,Digital,,Other,Epic,2020-08-21,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
,2020-11-22,0,1,0,0,0,0,0,0,,PSN,"Enter the Gungeon","PlayStation 4",Digital,,"Sony Entertainment Network",,2021-03-27,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
Entwined,2015-07-16,0,1,0,0,0,0,0,1,,PSN,Entwined,"PlayStation 4",Digital,,"Sony Entertainment Network",,2015-07-15,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Epistory: Typing Chronicles",2023-02-10,0,1,0,0,0,0,0,0,,Epic,"Epistory - Typing Chronicles",PC,Digital,,"Epic Games Store",,2023-01-20,N/A,N/A,,N/A,N/A,,N/A,,PC,
Equilinox,2020-01-31,0,1,0,0,0,0,0,0,,"HB / Steam",Equilinox,PC,Digital,,"Humble Bundle",,2020-01-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
Erica,2020-07-14,0,1,0,0,0,0,0,1,,PSN,Erica,"PlayStation 4",Digital,,"Sony Entertainment Network",,2020-07-12,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Escape Academy",2024-01-08,0,1,0,0,0,0,0,0,,Epic,"Escape Academy",PC,Digital,,"Epic Games Store",,2024-01-02,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Escape Plan",2014-11-06,0,1,0,0,0,0,0,0,,,"Escape Plan","PlayStation 4",Digital,,"Sony Entertainment Network",,2014-11-06,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"The Escapists",2019-12-21,0,1,0,0,0,0,0,0,,Epic,"The Escapists",PC,Digital,,Other,Epic,2019-12-13,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Escapists 2",2020-07-14,0,1,0,0,0,0,0,0,,Epic,"The Escapists 2",PC,Digital,,Other,Epic,2020-07-11,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Eschalon: Book II",2023-06-23,0,1,0,0,0,0,0,0,,GOG,"Eschalon: Book II (GOG)",PC,Digital,,GOG,,2023-06-19,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Eternal Threads",2023-10-20,0,1,0,0,0,0,0,0,,Epic,"Eternal Threads",PC,Digital,,"Epic Games Store",,2023-10-20,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Ether One",2014-06-13,0,1,0,0,0,0,0,0,,GOG,"Ether One",PC,Digital,,GOG,,,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",GOG
,2014-06-13,0,1,0,0,0,0,0,0,,PS4,"Ether One","PlayStation 4",Digital,,"Sony Entertainment Network",,2015-05-14,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
Eufloria,2012-11-22,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"PC, Linux",
"Euro Truck Simulator",2017-10-16,0,1,0,0,0,0,0,1,,"HB / Steam","Euro Truck Simulator",PC,Digital,,"Humble Bundle",,2017-10-15,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Euro Truck Simulator 2",2017-10-16,0,1,1,0,0,0,0,0,,"HB / Steam","Euro Truck Simulator 2 (Steam)",PC,Digital,,"Humble Bundle",,2017-10-15,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"Europa Universalis II",2020-11-22,0,1,0,0,0,0,0,0,,GOG,,PC,Digital,,GOG,,2020-10-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Europa Universalis IV",2021-11-17,0,1,0,0,0,0,0,0,,Epic,"Europa Universalis IV",PC,Digital,,Other,Epic,2021-10-01,N/A,N/A,,N/A,N/A,,N/A,,PC,
Evergarden,2020-01-31,0,1,0,0,0,0,0,0,,"HB / Steam",,PC,Digital,,"Humble Bundle",,2020-01-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Everybody's Gone to the Rapture",2016-11-17,0,1,0,0,0,0,0,0,,,"Everybody's Gone to the Rapture","PlayStation 4",Digital,,"Sony Entertainment Network",,2016-11-17,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
Everything,2017-09-18,0,1,1,0,0,0,0,1,,GOG,Everything,PC,Digital,,GOG,,2017-09-17,N/A,N/A,,N/A,N/A,,N/A,,PC,
,2017-09-18,0,1,1,0,0,0,0,1,,Epic,Everything,PC,Digital,,Other,Epic,2019-09-27,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Evil Dead: The Game",2022-12-05,0,1,0,0,0,0,0,1,,Epic,"Evil Dead: The Game",PC,Digital,,"Epic Games Store",,2022-11-18,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 5",
,2022-12-05,0,1,0,0,0,0,0,1,,PS5,"Evil Dead: The Game","PlayStation 5",Digital,,"Sony Entertainment Network",,2023-02-08,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 5",
"The Evil Within",2023-10-20,0,1,0,0,0,0,0,0,,Epic,"The Evil Within",PC,Digital,,"Epic Games Store",,2023-10-20,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Evil Within 2",2023-11-03,0,1,0,0,0,0,0,0,,Epic,"The Evil Within 2",PC,Digital,,"Epic Games Store",,2023-10-27,N/A,N/A,,N/A,N/A,,N/A,,PC,
Evoland,2015-06-10,0,1,1,0,1,1,1,0,,,"Evoland (GOG)",PC,Digital,,GOG,,2015-06-09,N/A,N/A,,N/A,N/A,,N/A,,"PC, Android",
,2015-06-10,0,1,1,0,1,1,1,0,,"Google Play Store",,Android,Digital,,"Google Play",,2019-12-06,N/A,N/A,,N/A,N/A,,N/A,,"PC, Android",
"Evoland: Legendary Edition",2022-11-02,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2022-10-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"F.I.S.T.: Forged In Shadow Torch",2023-01-07,0,1,0,0,0,0,0,0,,Epic,"F.I.S.T.: Forged In Shadow Torch",PC,Digital,,"Epic Games Store",,2022-12-27,N/A,N/A,,N/A,N/A,,N/A,,PC,
"F1 2015",2018-03-23,0,1,0,0,0,0,0,0,,"HB / Steam",,PC,Digital,,"Humble Bundle",,2018-03-22,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"F1 2018",2020-08-09,0,1,0,0,0,0,0,0,,"HB / Steam",,PC,Digital,,"Humble Bundle",,2020-08-09,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Fable Anniversary",2015-01-30,0,1,0,0,0,0,0,0,,Steam,"Fable Anniversary",PC,Digital,,Steam,,2015-01-30,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Fable III",2012-11-24,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
"Fable: The Lost Chapters",2014-06-22,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
"Faeria: Strategy Card Game",2020-02-24,0,1,0,0,0,0,0,0,,Epic,"Faeria: Strategy Card Game (Steam)",PC,Digital,,Other,Epic,2020-02-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Faery: Legends of Avalon",2011-08-16,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,"PlayStation Network (PS3)",
"The Falconeer",2024-07-18,0,1,0,0,0,0,0,0,,Epic,"The Falconeer",PC,Digital,,"Epic Games Store",,2024-07-05,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Fall",2021-03-28,0,1,0,0,0,0,0,0,,Epic,"The Fall",PC,Digital,,Other,Epic,2021-03-19,N/A,N/A,,N/A,N/A,,N/A,,PC,
Fallout,2012-11-22,0,1,1,0,0,0,0,0,,Epic,Fallout,PC,Digital,,"Epic Games Store",,2022-12-23,N/A,N/A,,N/A,N/A,,N/A,,"Mac, PC",
"Fallout 2",2013-12-12,0,1,1,0,0,0,0,0,,Epic,"Fallout 2",PC,Digital,,"Epic Games Store",,2022-12-23,N/A,N/A,,N/A,N/A,,N/A,,"Mac, PC",
"Fallout 3",2012-11-23,0,1,1,0,0,0,0,0,,,"Fallout 3: Game of the Year Edition",PC,Physical,,,,,N/A,N/A,,N/A,N/A,,N/A,,PC,
,2012-11-23,0,1,1,0,0,0,0,0,,Steam,"Fallout 3: Game of the Year Edition",PC,Digital,,Steam,,2015-10-24,N/A,N/A,,N/A,N/A,,N/A,,PC,
,2012-11-23,0,1,1,0,0,0,0,0,,Epic,"Fallout 3: Game of the Year Edition",PC,Digital,,"Epic Games Store",,2022-10-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Fallout 4",2019-07-24,0,1,0,0,0,0,0,0,,"GB / Steam","Fallout 4",PC,Digital,,Other,GameBillet,2019-07-24,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
,2019-07-24,0,1,0,0,0,0,0,0,,PSN,"Fallout 4","PlayStation 4",Digital,,"Sony Entertainment Network",,2021-07-03,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
"Fallout 76",2023-01-07,0,1,0,0,0,0,0,0,,PSN,"Fallout 76","PlayStation 4",Digital,,"Sony Entertainment Network",,2023-01-04,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Fallout Tactics: Brotherhood of Steel",2013-12-12,0,1,0,0,0,0,0,0,,Epic,"Fallout Tactics: Brotherhood of Steel",PC,Digital,,"Epic Games Store",,2022-12-23,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Fallout: New Vegas",2012-11-25,0,1,0,0,0,0,0,0,,Epic,"Fallout: New Vegas",PC,Digital,,"Epic Games Store",,2023-05-26,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Fantasy General",2017-06-19,0,1,0,0,0,0,0,1,,GOG,"Fantasy General",PC,Digital,,GOG,,2017-06-16,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"Far Cry",2012-11-28,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,PC,
"Far Cry 2",2012-11-22,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"PlayStation Network (PS3), PC",
"Far Cry 3",2013-09-26,1,1,1,0,1,0,0,0,4.0,,,,,,,,,,,,,,,,,"PlayStation Network (PS3), PC",
"Far Cry 3: Blood Dragon",2013-11-08,0,1,1,0,0,0,0,0,,PSN,"Far Cry 3: Blood Dragon","PlayStation Network (PS3)",Digital,,"Sony Entertainment Network",,2015-12-06,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3), PC",
"Far Cry 4",2014-11-18,0,1,1,0,1,1,0,0,,UPlay,"Far Cry 4",PC,Digital,,"Green Man Gaming",,2014-11-18,N/A,N/A,,N/A,N/A,,N/A,,PC,UPlay
"Far Cry 5",2020-07-14,0,1,0,0,0,0,0,0,,"GamersGate / Uplay","Far Cry 5 (Uplay)",PC,Digital,,GamersGate,,2020-07-14,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Far Cry: Primal",2017-02-11,1,1,1,0,1,1,0,0,4.5,"Uplay / GamersGate","Far Cry Primal",PC,Digital,,GamersGate,,2017-02-11,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Farming Simulator 19",2020-01-31,0,1,0,0,0,0,0,1,,Epic,"Farming Simulator 19",PC,Digital,,Other,Epic,2020-01-31,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
,2020-01-31,0,1,0,0,0,0,0,1,,PSN,"Farming Simulator 19","PlayStation 4",Digital,,"Sony Entertainment Network",,2020-05-06,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
"Farming Simulator 22",2024-05-28,0,1,0,0,0,0,0,0,,Epic,"Farming Simulator 22",PC,Digital,,"Epic Games Store",,2024-05-24,N/A,N/A,,N/A,N/A,,N/A,,PC,
Farpoint,2021-03-06,0,1,0,0,0,0,0,1,,PSN,Farpoint,"PlayStation 4",Digital,,"Sony Entertainment Network",,2021-03-02,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Fat Princess",2016-07-06,0,1,0,0,0,0,0,0,,PS3,"Fat Princess","PlayStation Network (PS3)",Digital,,"Sony Entertainment Network",,2016-07-05,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3)",
Fez,2012-11-22,1,1,1,0,1,0,0,0,4.5,,,,,,,,,,,,,,,,,"Mac, Xbox 360 Games Store, PC, PlayStation 4, Linux",
Figment,2020-03-27,0,1,1,0,1,1,1,0,,"HB / Steam",Figment,PC,Digital,,"Humble Bundle",,2021-04-19,N/A,N/A,,N/A,N/A,,N/A,,"PC, Nintendo Switch, PlayStation 5",
,2020-03-27,0,1,1,0,1,1,1,0,,Epic,Figment,PC,Digital,,Other,Epic,2020-03-26,N/A,N/A,,N/A,N/A,,N/A,,"PC, Nintendo Switch, PlayStation 5",
,2020-03-27,0,1,1,0,1,1,1,0,,Switch,Figment,"Nintendo Switch",Digital,,"Nintendo eShop",,2021-05-22,N/A,N/A,,N/A,N/A,,N/A,,"PC, Nintendo Switch, PlayStation 5",
,2020-03-27,0,1,1,0,1,1,1,0,,GOG,Figment,PC,Digital,,GOG,,2023-03-06,N/A,N/A,,N/A,N/A,,N/A,,"PC, Nintendo Switch, PlayStation 5",
,2020-03-27,0,1,1,0,1,1,1,0,,PSN,Figment,"PlayStation 4",Digital,,"Sony Entertainment Network",,2025-03-28,N/A,N/A,,N/A,N/A,,N/A,,"PC, Nintendo Switch, PlayStation 5",
"Figment 2: Creed Valley",2025-03-25,0,1,1,0,1,1,1,0,,NSW,,"Nintendo Switch",Digital,,"Nintendo eShop",,2025-03-25,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4, Nintendo Switch",
,2025-03-25,0,1,1,0,1,1,1,0,,Epic,,PC,Digital,,"Epic Games Store",,2025-07-11,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4, Nintendo Switch",
,2025-03-25,0,1,1,0,1,1,1,0,,PSN,,"PlayStation 4",Digital,,"Sony Entertainment Network",,2025-03-28,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4, Nintendo Switch",
Filament,2022-11-04,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2022-11-04,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Final Fantasy V",2012-11-22,0,1,0,0,0,0,0,0,,PSN,"Final Fantasy V","PlayStation 3",Digital,,"Sony Entertainment Network",,,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3)",
"Final Fantasy VII Rebirth",2024-05-27,1,1,1,1,0,0,0,0,,PSN,,"PlayStation 5",Digital,,"Sony Entertainment Network",,2024-02-23,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 5",
"Final Fantasy VII Remake",2021-03-06,1,1,1,0,1,0,0,0,4.0,PSN,"Final Fantasy VII Remake (Digital)","PlayStation 4",Digital,,"Sony Entertainment Network",,2021-03-02,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Final Fantasy XIII",2013-01-24,0,1,0,0,0,0,0,0,,PS3,"Final Fantasy XIII","PlayStation 3",Physical,,,,,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 3",
"Final Fantasy XIII-2",2013-01-24,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"PlayStation 3",
"Final Fantasy XV",2021-07-08,0,1,0,0,0,0,0,0,,PSN,"Final Fantasy XV: Royal Edition","PlayStation 4",Digital,,"Sony Entertainment Network",,2021-07-03,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"Final Horizon",2014-12-21,0,1,0,0,0,0,0,1,,,"Final Horizon","PlayStation Network (Vita)",Digital,,"Sony Entertainment Network",,2014-12-21,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (Vita)","PS Plus"
"Finding Paradise",2018-11-16,0,1,0,0,0,0,0,0,,"HB / Steam",,PC,Digital,,"Humble Bundle",,2018-11-16,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Firewall Zero Hour",2020-02-05,0,1,0,0,0,0,0,1,,PSN,"Firewall Zero Hour","PlayStation 4",Digital,,"Sony Entertainment Network",,2020-02-05,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
Firewatch,2017-09-18,1,1,1,0,1,0,0,0,,GOG,Firewatch,PC,Digital,,GOG,,2017-09-17,N/A,N/A,,N/A,N/A,,N/A,,"PC, Linux",
"First Class Trouble",2023-02-10,0,1,0,0,0,0,0,0,,Epic,"First Class Trouble (Early Access)",PC,Digital,,"Epic Games Store",,2023-01-13,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The First Tree",2021-04-26,0,1,0,0,0,0,0,0,,Epic,"The First Tree",PC,Digital,,Other,Epic,2021-04-16,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"The Flame in the Flood",2018-05-10,0,1,0,0,0,0,0,0,,"HB / Steam",,PC,Digital,,"Humble Bundle",,2018-05-09,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Flame Over",2016-05-08,0,1,1,0,0,0,0,1,,PS4,"Flame Over","PlayStation 4",Digital,,"Sony Entertainment Network",,2016-03-18,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
Flashback,2022-06-21,0,1,0,0,0,0,0,0,,GOG,Flashback,PC,Digital,,GOG,,2022-06-21,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Flight of the Amazon Queen",2020-03-27,0,1,0,0,0,0,0,0,,GOG,"Flight of the Amazon Queen",PC,Digital,,GOG,,2020-03-25,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Floppy Knights",2024-07-18,0,1,0,0,0,0,0,0,,Epic,"Floppy Knights",PC,Digital,,"Epic Games Store",,2024-07-12,N/A,N/A,,N/A,N/A,,N/A,,PC,
Florence,2023-04-20,0,1,0,0,0,0,0,0,,Steam,Florence,PC,Digital,,Other,Gamebillet,2023-04-20,N/A,N/A,,N/A,N/A,,N/A,,PC,
Flower,2012-11-22,1,1,1,0,1,1,1,0,4.5,,,,,,,,,,,,,,,,,"PlayStation Network (PS3), PlayStation 4",
Folklore,2011-08-16,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,"PlayStation 3",
"For Honor",2019-02-10,0,1,0,0,0,0,0,1,,PSN,"For Honor","PlayStation 4",Digital,,"Sony Entertainment Network",,2019-02-10,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
,2019-02-10,0,1,0,0,0,0,0,1,,EGS,"For Honor",PC,Digital,,Other,"Epic Games Store",2019-08-04,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
"For the King",2020-04-24,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,Other,Epic,2020-04-24,N/A,N/A,,N/A,N/A,,N/A,,PC,
"The Forest Quartet",2023-09-25,0,1,0,0,0,0,0,0,,Epic,"The Forest Quartet",PC,Digital,,"Epic Games Store",,2023-09-22,N/A,N/A,,N/A,N/A,,N/A,,PC,
"Forgotten Realms: Demon Stone",2013-06-18,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,PC,
"Forgotton Anne",2019-04-23,0,1,1,0,1,0,0,0,3.5,"HB / Steam","Forgotton Anne",PC,Digital,,"Humble Bundle",,2019-04-17,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
,2019-04-23,0,1,1,0,1,0,0,0,3.5,PS5,"Forgotton Anne","PlayStation 4",Digital,,"Sony Entertainment Network",,2025-03-21,N/A,N/A,,N/A,N/A,,N/A,,"PC, PlayStation 4",
"Fort Triumph",2022-12-05,0,1,0,0,0,0,0,0,,Epic,,PC,Digital,,"Epic Games Store",,2022-12-02,N/A,N/A,,N/A,N/A,,N/A,,PC,
